"","g1.civil_composite","g4.composite","g6.composite","h2.composite","outcome.composite","outcome.composite2"
"311",8,5,7.83,7.66666666666667,7.68,7.55
"312",7.27,NA,5.48,NA,3.44,6.75
"313",4,3,2.58,NA,2.58,3.38
"314",2.18,0,3.9,NA,1.64,2.15
"315",2.91,2,2.32,4.66666666666667,3.21,3.15
"316",0,NA,2.5,NA,0.67,1.32
"317",2.36,NA,4.89,4.66666666666667,3.21,4.21
"318",1.45,2,3.85,5.33333333333333,3.4,3.35
"319",2.91,0,6.17,6.66666666666667,4.24,4.17
"320",2.18,4,3.89,6.66666666666667,4.51,4.43
"321",4.18,0,3.22,5,3.34,3.28
"322",0,NA,0.95,NA,0.26,0.5
"323",0.91,0,5.48,NA,1.72,2.26
"324",2.91,8,7.15,9,7.29,7.17
"325",0,0,NA,NA,0,0
"326",0.73,NA,1.9,NA,0.71,1.39
"327",3.64,6,4.44,7.33333333333333,5.77,5.67
"328",0,0,0,NA,0,0
"329",5.82,4,2.88,NA,3.42,4.48
"330",2.91,6,2.09,5.33333333333333,4.4,4.33
"331",4,3,4.98,NA,3.23,4.23
"332",2.18,0,4.62,NA,1.83,2.4
"333",NA,0,3.17,3,1.66,2.18
"334",0,0,NA,NA,0,0
"335",2.18,0,0.71,NA,0.78,1.02
"336",4.36,5,5.31,5,5.3,5.21
"337",10,8,9.44,9.66666666666667,10,9.83
"338",1.27,4,4.41,NA,2.61,3.42
"339",4.36,NA,5.57,NA,2.68,5.26
"340",0,0,1.19,NA,0.32,0.42
"341",6,2,4.43,NA,3.35,4.39
"342",1.09,NA,NA,NA,0.29,1.15
"343",0,0,0,NA,0,0
"344",NA,8,0.68,NA,2.34,4.6
"345",3.09,2,3.12,NA,2.21,2.9
"346",2.55,0,2.39,NA,1.33,1.74
"347",0,0,NA,NA,0,0
"348",0,0,1.9,NA,0.51,0.67
"349",1.27,NA,6.54,NA,2.1,4.14
"350",0,0,4.28,NA,1.15,1.51
"351",3.09,1,1.9,NA,1.61,2.11
"352",0.73,0,5.24,NA,1.61,2.11
"353",0.91,NA,2.38,NA,0.89,1.74
"354",3.09,4,2.59,4.66666666666667,3.87,3.8
"355",8,7,6.8,10,8.57,8.42
"356",3.27,1,5.82,8,4.88,4.79
"357",2.73,NA,6.58,NA,2.51,4.93
"358",NA,3,4.88,NA,2.12,4.17
"359",3.09,5,6.72,8,6.15,6.04
"360",0.36,0,0,NA,0.1,0.13
"361",3.64,0,4.04,8,4.23,4.15
