"","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","scores","scores2","g6.composite","g6.rowsums"
"218",4,4,10,3,9,8,6.33333333333333,6.33333333333333,6.33333333333333,6.33333333333333
"219",1,1,1,1,1,1,1,1,1,1
"220",0,0,0,0,0,0,0,0,0,0
"221",0,0,0,0,0,8,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333
"222",0,0,0,0,0,0,0,0,0,0
"223",5,5,10,2,10,10,7,7,7,7
"224",0,0,0,0,0,8,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333
"225",0,0,0,0,0,10,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
"226",3,0,0,1,10,9,3.83333333333333,3.83333333333333,3.83333333333333,3.83333333333333
"227",NA,2,0,0,5,10,3.4,3.16666666666667,3.4,2.83333333333333
"228",2,0,0,0,2,5,1.5,1.5,1.5,1.5
"229",5,5,10,1,10,5,6,6,6,6
"230",NA,NA,NA,NA,NA,10,10,2.83333333333333,10,1.66666666666667
"231",7,0,0,0,0,8,2.5,2.5,2.5,2.5
"232",7,6,6,5,6,7,6.16666666666667,6.16666666666667,6.16666666666667,6.16666666666667
"233",0,0,0,0,0,0,0,0,0,0
"234",2,2,4,0,2,8,3,3,3,3
"235",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"236",0,0,3,2,2,3,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
"237",10,9,8,NA,10,10,9.4,7.83333333333333,9.4,7.83333333333333
"238",10,8,10,4,10,10,8.66666666666667,8.66666666666667,8.66666666666667,8.66666666666667
"239",0,0,0,0,8,0,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333
"240",8,9,9,NA,9,10,9,7.5,9,7.5
"241",0,0,0,0,0,0,0,0,0,0
"242",7,6,9,6,8,8,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333
"243",2,2,0,0,2,5,1.83333333333333,1.83333333333333,1.83333333333333,1.83333333333333
"244",0,0,1,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"245",2,2,6,4,6,4,4,4,4,4
"246",2,2,0,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"247",0,0,1,0,4,4,1.5,1.5,1.5,1.5
"248",8,0,8,0,0,8,4,4,4,4
"249",10,10,10,10,10,10,10,10,10,10
"250",2,2,NA,NA,NA,2,2,1.83333333333333,2,1
"251",10,0,0,0,10,7,4.5,4.5,4.5,4.5
"252",2,3,1,0,4,6,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667
"253",7,9,10,NA,10,10,9.2,7.66666666666667,9.2,7.66666666666667
"254",8,1,8,1,3,0,3.5,3.5,3.5,3.5
"255",7,8,9,NA,6,9,7.8,6.5,7.8,6.5
"256",6,4,8,4,8,8,6.33333333333333,6.33333333333333,6.33333333333333,6.33333333333333
